date,segment_index,start_period,end_period,interval,energy_kwh
2025-03-04,2,43,47,7:00-7:50,478.83873333333344
2025-03-04,3,49,78,8:00-13:00,3653.5257833333344
2025-03-04,4,81,84,13:20-14:00,310.4446666666666
2025-03-04,5,88,90,14:30-15:00,157.8816
2025-03-05,1,37,53,6:00-8:50,2056.421
2025-03-05,2,55,57,9:00-9:30,156.52161666666643
2025-03-05,3,61,63,10:00-10:30,111.14434999999972
2025-03-05,4,102,102,16:50-17:00,8.361483333333354
2025-03-06,1,37,41,6:00-6:50,669.5587333333333
2025-03-06,2,43,47,7:00-7:50,724.6657
2025-03-06,3,49,68,8:00-11:20,2849.6521833333327
2025-03-06,4,75,78,12:20-13:00,169.31436666666664
2025-03-07,1,37,41,6:00-6:50,620.6426
2025-03-07,2,43,47,7:00-7:50,798.1337666666667
2025-03-07,3,61,63,10:00-10:30,98.80851666666679
2025-03-07,4,67,67,11:00-11:10,8.771250000000084
2025-03-08,1,37,41,6:00-6:50,596.3237833333333
2025-03-08,2,43,48,7:00-8:00,956.2804430041153
2025-03-08,3,67,69,11:00-11:30,107.7863833333331
2025-03-08,4,71,71,11:40-11:50,3.6486166666665363
2025-03-09,1,37,58,6:00-9:40,2924.5388999999996
2025-03-10,1,37,41,6:00-6:50,643.0961666666666
2025-03-10,2,43,63,7:00-10:30,3501.1431000000002
2025-03-10,3,65,67,10:40-11:10,114.43509999999999
2025-03-10,4,69,69,11:20-11:30,0.7875500000000102
2025-03-10,5,73,78,12:00-13:00,270.9769499999997
2025-03-10,6,84,84,13:50-14:00,32.703933333333374
2025-03-10,7,102,102,16:50-17:00,9.594633333333338
2025-03-11,1,37,80,6:00-13:20,8699.255433333336
2025-03-11,2,82,84,13:30-14:00,111.93591666666649
2025-03-11,3,90,90,14:50-15:00,29.442766666666557
2025-03-11,4,96,96,15:50-16:00,30.567583333333307
2025-03-12,1,37,41,6:00-6:50,707.6983499999999
2025-03-12,2,43,47,7:00-7:50,775.07905
2025-03-12,3,49,53,8:00-8:50,741.984766666667
2025-03-12,4,55,57,9:00-9:30,340.94249999999994
2025-03-13,1,37,47,6:00-7:50,1491.9929333333334
2025-03-13,2,49,52,8:00-8:40,262.6906666666669
2025-03-13,3,61,63,10:00-10:30,83.76588333333332
2025-03-13,4,69,69,11:20-11:30,8.052183333333383
2025-03-13,5,73,84,12:00-14:00,1441.2037499999997
2025-03-13,6,96,96,15:50-16:00,25.291750000000015
2025-03-14,1,37,41,6:00-6:50,653.1307999999999
2025-03-14,2,43,47,7:00-7:50,611.2053833333332
2025-03-14,3,71,78,11:40-13:00,688.78225
2025-03-14,4,83,84,13:40-14:00,15.099049999999957
2025-03-14,5,90,90,14:50-15:00,26.052566666666735
2025-03-14,6,96,96,15:50-16:00,0.3953999999999572
2025-03-14,7,102,102,16:50-17:00,18.14865000000001
2025-03-15,1,37,41,6:00-6:50,598.1237666666666
2025-03-15,2,43,47,7:00-7:50,792.6104925925928
2025-03-15,3,67,72,11:00-12:00,196.29753333333463
2025-03-15,4,89,90,14:40-15:00,55.71773333333324
2025-03-15,5,95,96,15:40-16:00,47.71860000000007
2025-03-15,6,102,102,16:50-17:00,15.331083333333329
2025-03-16,1,37,41,6:00-6:50,595.4491999999999
2025-03-16,2,43,47,7:00-7:50,678.9106666666665
2025-03-16,3,49,67,8:00-11:10,2754.8060500000006
2025-03-16,4,71,72,11:40-12:00,68.20108333333322
2025-03-16,5,76,78,12:30-13:00,140.83845000000002
2025-03-16,6,102,102,16:50-17:00,14.672566666666663
2025-03-17,1,37,56,6:00-9:20,3350.328766666666
2025-03-17,2,90,90,14:50-15:00,38.291866666666614
2025-03-17,3,95,96,15:40-16:00,75.70286666666675
2025-03-17,4,102,102,16:50-17:00,16.802983333333334
2025-03-18,1,37,41,6:00-6:50,633.3630166666667
2025-03-18,2,43,47,7:00-7:50,640.5495833333333
2025-03-18,3,49,52,8:00-8:40,288.7057166666667
2025-03-18,4,90,90,14:50-15:00,3.9849333333333257
2025-03-19,1,37,78,6:00-13:00,6890.396383333334
2025-03-19,2,81,84,13:20-14:00,361.0385666666669
2025-03-19,3,89,90,14:40-15:00,74.80288333333313
2025-03-19,4,96,96,15:50-16:00,5.367633333333363
2025-03-20,1,37,72,6:00-12:00,6059.487266666668
2025-03-21,1,37,46,6:00-7:40,1317.7205499999998
2025-03-21,2,102,102,16:50-17:00,6.578049999999999
2025-03-22,1,37,41,6:00-6:50,642.9646166666665
2025-03-22,2,43,46,7:00-7:40,492.0419833333332
2025-03-22,3,68,70,11:10-11:40,204.4168333333335
2025-03-22,4,72,72,11:50-12:00,0.6583166666666026
2025-03-23,1,31,46,5:00-7:40,1100.1914666666664
2025-03-23,2,49,51,8:00-8:30,252.83103333333318
2025-03-23,3,55,59,9:00-9:50,341.67846666666674
2025-03-23,4,61,61,10:00-10:10,44.379766666666605
2025-03-23,5,67,69,11:00-11:30,186.84050000000008
2025-03-24,1,31,35,5:00-5:50,24.596933333333332
2025-03-24,2,37,41,6:00-6:50,713.7747833333333
2025-03-24,3,43,47,7:00-7:50,643.7040666666666
2025-03-24,4,49,52,8:00-8:40,556.5641166666666
2025-03-24,5,55,58,9:00-9:40,493.41088333333346
2025-03-24,6,75,76,12:20-12:40,62.38918333333337
2025-03-24,7,90,90,14:50-15:00,31.28771666666671
2025-03-24,8,96,96,15:50-16:00,63.68696666666665
2025-03-24,9,102,102,16:50-17:00,10.361199999999977
2025-03-24,10,108,108,17:50-18:00,0.7585333333333335
2025-03-25,1,31,41,5:00-6:50,716.9895666666667
2025-03-25,2,43,47,7:00-7:50,642.8860833333333
2025-03-25,3,49,53,8:00-8:50,491.8642166666668
2025-03-25,4,108,108,17:50-18:00,0.5513499999999993
2025-03-26,1,31,65,5:00-10:50,4757.079699999999
2025-03-26,2,67,72,11:00-12:00,313.04094999999927
2025-03-27,1,31,35,5:00-5:50,64.81661666666668
2025-03-27,2,37,41,6:00-6:50,619.8974499999999
2025-03-27,3,43,47,7:00-7:50,638.8997333333334
2025-03-27,4,49,51,8:00-8:30,251.89004999999997
2025-03-27,5,55,58,9:00-9:40,300.6507333333334
2025-03-27,6,61,62,10:00-10:20,104.11361666666667
2025-03-27,7,65,65,10:40-10:50,7.467633333333348
2025-03-27,8,67,72,11:00-12:00,393.31593333333285
2025-03-27,9,102,102,16:50-17:00,3.7597833333333406
2025-03-28,1,31,35,5:00-5:50,80.40246666666668
2025-03-28,2,37,41,6:00-6:50,578.1382666666667
2025-03-28,3,43,46,7:00-7:40,287.75186666666644
2025-03-28,4,77,78,12:40-13:00,36.047766666666725
2025-03-28,5,81,84,13:20-14:00,351.7204999999999
2025-03-28,6,88,90,14:30-15:00,172.98211666666685
2025-03-28,7,96,96,15:50-16:00,40.004766666666605
2025-03-29,1,31,35,5:00-5:50,101.80836666666667
2025-03-29,2,37,41,6:00-6:50,578.5373500000001
2025-03-29,3,43,46,7:00-7:40,358.4453
2025-03-29,4,80,84,13:10-14:00,50.96823333333365
2025-03-29,5,90,90,14:50-15:00,4.64375000000003
2025-03-29,6,96,96,15:50-16:00,70.44111666666663
2025-03-29,7,101,102,16:40-17:00,57.64603333333328
2025-03-29,8,108,108,17:50-18:00,1.9136499999999992
2025-03-30,1,31,51,5:00-8:30,2224.945683333333
2025-03-30,2,55,55,9:00-9:10,71.0280499999999
2025-03-30,3,61,61,10:00-10:10,3.7883166666667116
2025-03-30,4,108,108,17:50-18:00,1.0381166666666672
2025-03-31,1,31,84,5:00-14:00,6989.606383333329
2025-03-31,2,88,90,14:30-15:00,216.2967166666664
2025-03-31,3,96,96,15:50-16:00,16.759683333333363
2025-03-31,4,108,108,17:50-18:00,1.2148499999999984
2025-04-01,1,31,41,5:00-6:50,995.5388333333334
2025-04-01,2,43,47,7:00-7:50,817.9574666666667
2025-04-01,3,49,51,8:00-8:30,316.14553333333333
2025-04-01,4,89,90,14:40-15:00,70.1558666666668
2025-04-01,5,96,96,15:50-16:00,14.006166666666633
2025-04-02,1,31,35,5:00-5:50,155.14595
2025-04-02,2,37,41,6:00-6:50,760.0812666666666
2025-04-02,3,43,53,7:00-8:50,1099.3838833333327
2025-04-02,4,61,63,10:00-10:30,156.61169999999993
2025-04-02,5,76,81,12:30-13:30,200.71411666666637
2025-04-02,6,84,84,13:50-14:00,57.20351666666662
2025-04-02,7,89,90,14:40-15:00,92.43589999999993
2025-04-02,8,96,96,15:50-16:00,27.831249999999876
2025-04-02,9,102,102,16:50-17:00,6.543083333333357
2025-04-02,10,108,108,17:50-18:00,3.1197333333333335
2025-04-03,1,31,35,5:00-5:50,163.36611666666664
2025-04-03,2,37,41,6:00-6:50,651.6348166666667
2025-04-03,3,43,46,7:00-7:40,406.1110166666665
2025-04-03,4,49,51,8:00-8:30,194.8254333333331
2025-04-03,5,55,56,9:00-9:20,149.28158333333323
2025-04-03,6,61,64,10:00-10:40,207.23075000000017
2025-04-04,1,31,41,5:00-6:50,894.4703666666668
2025-04-04,2,43,45,7:00-7:30,353.72456666666653
2025-04-04,3,83,84,13:40-14:00,63.75596666666645
2025-04-04,4,90,90,14:50-15:00,2.7937499999999695
2025-04-04,5,102,102,16:50-17:00,10.38639999999998
2025-04-05,1,31,44,5:00-7:20,1275.781883333333
2025-04-05,2,76,78,12:30-13:00,177.2694499999999
2025-04-05,3,80,84,13:10-14:00,669.7718500000001
2025-04-05,4,87,90,14:20-15:00,500.0412833333331
2025-04-05,5,93,96,15:20-16:00,128.28106666666696
2025-04-05,6,102,102,16:50-17:00,30.367883333333374
2025-04-05,7,108,108,17:50-18:00,0.6675333333333336
2025-04-06,1,31,41,5:00-6:50,880.5006999999999
2025-04-06,2,43,47,7:00-7:50,612.5319499999998
2025-04-06,3,49,57,8:00-9:30,1016.9269499999998
2025-04-06,4,102,102,16:50-17:00,49.51316666666662
2025-04-06,5,108,108,17:50-18:00,7.0329666666666615
2025-04-07,1,31,35,5:00-5:50,289.55738333333335
2025-04-07,2,37,41,6:00-6:50,580.1265333333333
2025-04-07,3,43,47,7:00-7:50,580.9070833333332
2025-04-07,4,49,53,8:00-8:50,593.8189500000002
2025-04-07,5,55,58,9:00-9:40,351.48395
2025-04-07,6,61,61,10:00-10:10,16.9062833333334
2025-04-07,7,67,68,11:00-11:20,44.74421666666664
2025-04-07,8,70,72,11:30-12:00,214.64241666666686
2025-04-07,9,75,84,12:20-14:00,1259.7575
2025-04-07,10,87,90,14:20-15:00,440.4752999999997
2025-04-07,11,94,96,15:30-16:00,164.54263333333301
2025-04-07,12,102,102,16:50-17:00,53.31940000000001
2025-04-07,13,108,108,17:50-18:00,0.28493333333333715
2025-04-08,1,31,35,5:00-5:50,232.93979999999996
2025-04-08,2,37,41,6:00-6:50,516.9477499999998
2025-04-08,3,43,47,7:00-7:50,496.9237833333332
2025-04-08,4,49,53,8:00-8:50,490.2625333333333
2025-04-08,5,55,59,9:00-9:50,468.8784833333335
2025-04-08,6,61,66,10:00-11:00,707.9250500000004
2025-04-08,7,102,102,16:50-17:00,20.614483333333318
2025-04-08,8,108,108,17:50-18:00,2.2473499999999924
2025-04-09,1,31,41,5:00-6:50,953.8176833333335
2025-04-09,2,43,47,7:00-7:50,695.1703
2025-04-09,3,49,52,8:00-8:40,554.6075499999998
2025-04-09,4,54,72,8:50-12:00,3184.1037999999985
2025-04-09,5,77,78,12:40-13:00,108.55508333333333
2025-04-09,6,84,84,13:50-14:00,6.480200000000119
2025-04-09,7,102,102,16:50-17:00,9.607966666666698
2025-04-09,8,108,108,17:50-18:00,0.7290833333333353
2025-04-10,1,31,47,5:00-7:50,1751.0779166666664
2025-04-10,2,49,52,8:00-8:40,403.65264999999994
2025-04-10,3,55,59,9:00-9:50,298.5475666666671
2025-04-10,4,61,67,10:00-11:10,685.2475166666659
2025-04-10,5,77,78,12:40-13:00,77.30551666666709
2025-04-10,6,82,84,13:30-14:00,93.4396666666665
2025-04-11,1,31,44,5:00-7:20,1539.4370166666668
2025-04-11,2,84,84,13:50-14:00,17.549999999999876
2025-04-11,3,88,90,14:30-15:00,187.91559999999996
2025-04-11,4,96,96,15:50-16:00,53.615916666666635
2025-04-11,5,102,102,16:50-17:00,24.858799999999974
2025-04-11,6,108,108,17:50-18:00,7.251599999999996
2025-04-12,1,31,35,5:00-5:50,364.74246666666664
2025-04-12,2,37,41,6:00-6:50,794.2993166666665
2025-04-12,3,43,44,7:00-7:20,130.74681666666672
2025-04-13,1,31,52,5:00-8:40,2395.142316666666
2025-04-13,2,55,58,9:00-9:40,172.35606666666686
2025-04-13,3,61,62,10:00-10:20,80.9712666666666
2025-04-13,4,70,71,11:30-11:50,46.58018333333348
2025-04-13,5,78,84,12:50-14:00,677.1670166666667
2025-04-13,6,89,90,14:40-15:00,142.08963333333332
2025-04-13,7,96,96,15:50-16:00,26.96044999999996
2025-04-14,1,31,35,5:00-5:50,311.11154999999997
2025-04-14,2,37,40,6:00-6:40,422.40448333333325
2025-04-14,3,43,46,7:00-7:40,471.24083333333317
2025-04-14,4,49,50,8:00-8:20,78.18149999999983
2025-04-14,5,55,57,9:00-9:30,236.8430833333333
2025-04-14,6,61,70,10:00-11:40,769.8196666666666
2025-04-14,7,72,75,11:50-12:30,71.37574999999968
2025-04-15,1,31,35,5:00-5:50,374.8185666666667
2025-04-15,2,37,41,6:00-6:50,686.3299166666667
2025-04-15,3,43,47,7:00-7:50,623.0808333333333
2025-04-15,4,49,52,8:00-8:40,566.6155166666667
2025-04-15,5,55,58,9:00-9:40,357.21116666666666
2025-04-15,6,61,65,10:00-10:50,297.1994000000007
2025-04-15,7,67,72,11:00-12:00,382.6967833333334
2025-04-15,8,81,84,13:20-14:00,432.8852999999999
2025-04-15,9,87,90,14:20-15:00,416.78304999999995
2025-04-15,10,94,96,15:30-16:00,197.152966666667
2025-04-15,11,102,102,16:50-17:00,34.10598333333337
2025-04-15,12,108,108,17:50-18:00,23.333083333333338
2025-04-16,1,31,35,5:00-5:50,376.4126166666666
2025-04-16,2,37,41,6:00-6:50,595.3236333333334
2025-04-16,3,43,46,7:00-7:40,524.9548166666667
2025-04-16,4,49,53,8:00-8:50,656.98785
2025-04-16,5,55,56,9:00-9:20,82.6875666666668
2025-04-16,6,61,63,10:00-10:30,334.38179999999977
2025-04-16,7,73,77,12:00-12:50,383.8115833333333
2025-04-16,8,83,84,13:40-14:00,39.991400000000034
2025-04-16,9,88,90,14:30-15:00,143.3228999999998
2025-04-16,10,96,96,15:50-16:00,27.933733333333294
2025-04-16,11,102,102,16:50-17:00,53.31009999999999
2025-04-16,12,108,108,17:50-18:00,17.64293333333332
2025-04-17,1,31,41,5:00-6:50,1185.0394333333334
2025-04-17,2,43,78,7:00-13:00,5502.092900000001
2025-04-17,3,84,84,13:50-14:00,21.184900000000045
2025-04-17,4,89,90,14:40-15:00,33.232283333333115
2025-04-18,1,31,43,5:00-7:10,1368.3615166666668
2025-04-18,2,78,83,12:50-13:50,253.21508333333298
2025-04-18,3,87,90,14:20-15:00,492.4813333333333
2025-04-18,4,96,96,15:50-16:00,21.685600000000097
2025-04-18,5,102,102,16:50-17:00,18.876216666666625
2025-04-19,1,31,35,5:00-5:50,406.034
2025-04-19,2,37,41,6:00-6:50,541.9260666666664
2025-04-19,3,43,45,7:00-7:30,206.67298333333335
2025-04-19,4,82,84,13:30-14:00,230.6847166666663
2025-04-19,5,88,90,14:30-15:00,324.29393333333337
2025-04-19,6,94,96,15:30-16:00,269.85046666666665
2025-04-19,7,101,102,16:40-17:00,67.35510000000006
2025-04-19,8,108,108,17:50-18:00,14.16788333333333
2025-04-20,1,31,47,5:00-7:50,1835.8306166666669
2025-04-20,2,49,53,8:00-8:50,718.4879333333334
2025-04-20,3,55,59,9:00-9:50,675.0221499999999
2025-04-20,4,73,78,12:00-13:00,1293.8961166666666
2025-04-20,5,80,90,13:10-15:00,586.7819833333336
2025-04-20,6,95,96,15:40-16:00,70.70078333333329
2025-04-20,7,102,102,16:50-17:00,3.0686833333333348
2025-04-20,8,108,108,17:50-18:00,8.297349999999994
2025-04-21,1,31,53,5:00-8:50,2947.155666666667
2025-04-21,2,55,56,9:00-9:20,38.12496666666675
2025-04-21,3,61,63,10:00-10:30,62.24338333333344
2025-04-22,1,31,35,5:00-5:50,389.97558333333336
2025-04-22,2,37,40,6:00-6:40,519.2089
2025-04-22,3,43,46,7:00-7:40,517.8698999999999
2025-04-22,4,49,50,8:00-8:20,256.8734333333333
2025-04-22,5,55,56,9:00-9:20,61.2171000000005
2025-04-22,6,62,84,10:10-14:00,4034.220383333334
2025-04-22,7,87,90,14:20-15:00,222.38076666666663
2025-04-22,8,94,96,15:30-16:00,56.72661666666666
2025-04-22,9,102,102,16:50-17:00,42.49375000000001
2025-04-22,10,108,108,17:50-18:00,23.817016666666667
2025-04-23,1,31,47,5:00-7:50,2145.065016666666
2025-04-23,2,49,54,8:00-9:00,748.4111333333337
2025-04-23,3,62,84,10:10-14:00,3396.5895500000006
2025-04-23,4,86,90,14:10-15:00,564.29935
2025-04-23,5,95,96,15:40-16:00,40.07786666666652
2025-04-23,6,102,102,16:50-17:00,36.799999999999955
2025-04-23,7,108,108,17:50-18:00,0.8562000000000012
2025-04-24,1,31,35,5:00-5:50,462.71631666666667
2025-04-24,2,37,41,6:00-6:50,864.2484333333332
2025-04-24,3,43,46,7:00-7:40,476.483833333333
2025-04-24,4,49,51,8:00-8:30,242.07459999999978
2025-04-24,5,63,64,10:20-10:40,108.88080000000005
2025-04-24,6,67,78,11:00-13:00,1947.0835000000004
2025-04-24,7,84,84,13:50-14:00,31.31874999999991
2025-04-24,8,96,96,15:50-16:00,34.88884999999997
2025-04-24,9,102,102,16:50-17:00,10.513550000000047
2025-04-24,10,108,108,17:50-18:00,0.947366666666672
2025-04-25,1,31,42,5:00-7:00,1529.4253500000002
2025-04-25,2,77,78,12:40-13:00,116.53791666666666
2025-04-25,3,83,84,13:40-14:00,43.18775000000005
2025-04-26,1,31,43,5:00-7:10,1419.0096419753083
2025-04-26,2,80,84,13:10-14:00,290.768433333333
