t,time_label,source_label,price,load_kw,pv_kw,q_kwh,charge_kwh,discharge_kwh,E_kwh,curtail_kwh,y_binary
99,16:20-16:30,16:30,0.8791,5665.8922,2383.1779,547.11905,0.0,0.0,10800.0,0.0,0.0
100,16:30-16:40,16:40,0.9024,5689.0372,2089.1246,599.9854333333333,0.0,-0.0,10800.0,0.0,0.0
101,16:40-16:50,16:50,0.9163,5603.6614,1791.0829,635.4297499999999,0.0,-0.0,10800.0,0.0,0.0
102,16:50-17:00,17:00,0.9264,5466.7124,1501.7283,660.8306833333334,0.0,-0.0,10800.0,0.0,0.0
103,17:00-17:10,17:10,0.9462,5467.3939,1255.1723,702.0369333333333,0.0,-0.0,10800.0,0.0,0.0
104,17:10-17:20,17:20,0.9742,5464.727,1036.3323,738.0657833333333,0.0,-0.0,10800.0,0.0,0.0
105,17:20-17:30,17:30,0.9862,5492.4458,836.7775,775.9447166666666,0.0,-0.0,10800.0,0.0,0.0
106,17:30-17:40,17:40,0.976,5621.7308,665.2313,826.08325,0.0,0.0,10800.0,0.0,0.0
107,17:40-17:50,17:50,1.0742,5091.2126,516.6758,762.4227999999999,0.0,0.0,10800.0,0.0,0.0
108,17:50-18:00,18:00,1.2313,4208.5688,386.6731,636.9826166666667,0.0,0.0,10800.0,0.0,0.0
109,18:00-18:10,18:10,1.2561,4122.7611,275.7933,531.8940499999999,0.0,109.26725000000005,10678.591944444444,0.0,0.0
110,18:10-18:20,18:20,1.2447,4255.9358,182.9526,678.8305333333333,0.0,0.0,10678.591944444444,0.0,0.0
111,18:20-18:30,18:30,1.2545,4225.9524,108.3414,686.2684999999999,0.0,0.0,10678.591944444444,0.0,0.0
112,18:30-18:40,18:40,1.2522,4233.3384,54.3121,696.5043833333333,0.0,0.0,10678.591944444444,0.0,0.0
113,18:40-18:50,18:50,1.2881,4246.4625,18.6569,0.0,0.0,704.6342666666666,9895.664981481481,0.0,0.0
114,18:50-19:00,19:00,1.3466,4239.1795,0.2753,0.0,0.0,706.4840333333333,9110.682722222222,0.0,0.0
115,19:00-19:10,19:10,1.3523,4244.6684,0.2296,0.0,0.0,707.4064666666666,8324.675537037037,0.0,0.0
116,19:10-19:20,19:20,1.3445,4251.9187,0.6007,0.0,0.0,708.553,7537.394425925927,0.0,0.0
117,19:20-19:30,19:30,1.3483,4256.6813,0.0,0.0,0.0,709.4468833333333,6749.120111111112,0.0,0.0
118,19:30-19:40,19:40,1.349,4267.3947,0.0,0.0,0.0,711.23245,5958.861833333334,0.0,0.0
119,19:40-19:50,19:50,1.3473,4269.975,0.0,0.0,0.0,711.6625,5168.125722222223,0.0,0.0
120,19:50-20:00,20:00,1.3482,4268.6702,0.0,0.0,0.0,711.4450333333332,4377.631240740741,0.0,0.0
121,20:00-20:10,20:10,1.3513,4282.2245,0.0,0.0,0.0,713.7040833333333,3584.626703703704,0.0,0.0
122,20:10-20:20,20:20,1.34,4291.7049,0.0,0.0,0.0,715.28415,2789.8665370370372,0.0,0.0
123,20:20-20:30,20:30,1.3489,4291.3611,0.0,0.0,0.0,715.22685,1995.170037037037,0.0,0.0
124,20:30-20:40,20:40,1.3952,4293.9182,0.0,0.0,0.0,715.6530333333333,1200.0,0.0,0.0
125,20:40-20:50,20:50,1.2226,4295.2135,0.0,715.8689166666666,0.0,0.0,1200.0,0.0,0.0
126,20:50-21:00,21:00,0.9332,4302.0307,0.0,717.0051166666667,0.0,0.0,1200.0,0.0,-0.0
127,21:00-21:10,21:10,0.9068,4320.9618,0.0,720.1603,-0.0,0.0,1200.0,0.0,-0.0
128,21:10-21:20,21:20,0.9371,4302.3292,0.0,717.0548666666666,0.0,0.0,1200.0,0.0,0.0
129,21:20-21:30,21:30,0.9371,4322.6758,0.0,720.4459666666667,0.0,0.0,1200.0,0.0,0.0
130,21:30-21:40,21:40,0.9871,4428.8083,0.0,738.1347166666666,0.0,-0.0,1200.0,0.0,0.0
131,21:40-21:50,21:50,0.7764,4030.1614,0.0,671.6935666666666,0.0,-0.0,1200.0,0.0,0.0
132,21:50-22:00,22:00,0.4209,3362.7419,0.0,1393.7903166666665,833.3333333333333,0.0,1950.0,0.0,1.0
133,22:00-22:10,22:10,0.3859,3309.3934,0.0,1384.8989,833.3333333333333,0.0,2700.0,0.0,1.0
134,22:10-22:20,22:20,0.4368,3412.9563,0.0,568.8260499999999,0.0,0.0,2700.0,0.0,-0.0
135,22:20-22:30,22:30,0.4198,3381.9313,0.0,1396.98855,833.3333333333333,0.0,3450.0,0.0,1.0
136,22:30-22:40,22:40,0.4186,3386.5592,0.0,1397.7598666666665,833.3333333333333,0.0,4200.0,0.0,1.0
137,22:40-22:50,22:50,0.4241,3400.4846,0.0,566.7474333333332,0.0,0.0,4200.0,0.0,-0.0
138,22:50-23:00,23:00,0.4237,3399.2426,0.0,1399.8737666666666,833.3333333333333,0.0,4950.0,0.0,1.0
139,23:00-23:10,23:10,0.4248,3406.9809,0.0,567.83015,0.0,0.0,4950.0,0.0,0.0
140,23:10-23:20,23:20,0.424,3416.1518,0.0,569.3586333333333,-0.0,0.0,4950.0,0.0,0.0
141,23:20-23:30,23:30,0.422,3421.9811,0.0,1403.6635166666665,833.3333333333333,0.0,5700.0,0.0,1.0
142,23:30-23:40,23:40,0.424,3429.6923,0.0,904.9487166666665,333.3333333333333,0.0,6000.0,0.0,1.0
143,23:40-23:50,23:50,0.4271,3439.061,0.0,573.1768333333333,0.0,0.0,6000.0,0.0,0.0
144,23:50-24:00,0:00+1,0.4276,3444.7259,0.0,574.1209833333332,0.0,0.0,6000.0,0.0,-0.0
