scenario_id,group,description,cost_day,delta_cost,delta_pct,curtail_total,milp_status,gates_all_pass,expect,observed_direction,direction_pass
D4_Pmax_+20pct,D_power_cap,Pmax ×1.20 = 6000 kW,35083.29348008142,-43.655109208215436,-0.001242781139877492,0.0,0,True,not_up,down,True
E_price_-5pct,E_data_perturbation,price 整体 ×0.95,33370.60115982515,-1756.3474294644839,-0.050000000000000065,0.0,0,True,down,down,True
E_price_-10pct,E_data_perturbation,price 整体 ×0.90,31614.25373036067,-3512.694858928964,-0.10000000000000002,0.0,0,True,down,down,True
E_price_-20pct,E_data_perturbation,price 整体 ×0.80,28101.558871431705,-7025.389717857928,-0.20000000000000004,0.0,0,True,down,down,True
E_price_+5pct,E_data_perturbation,price 整体 ×1.05,36883.29601875412,1756.3474294644839,0.050000000000000065,0.0,0,True,up,up,True
E_price_+10pct,E_data_perturbation,price 整体 ×1.10,38639.6434482186,3512.6948589289677,0.10000000000000013,0.0,0,True,up,up,True
E_price_+20pct,E_data_perturbation,price 整体 ×1.20,42152.338307147555,7025.389717857921,0.19999999999999984,0.0,0,True,up,up,True
E_load_-5pct,E_data_perturbation,load 整体 ×0.95,31552.184280896938,-3574.764308392696,-0.10176700373805478,0.0,0,True,down,down,True
E_load_-10pct,E_data_perturbation,load 整体 ×0.90,28073.627584719536,-7053.321004570098,-0.20079515266295256,0.0,0,True,down,down,True
E_load_-20pct,E_data_perturbation,load 整体 ×0.80,22159.430749852654,-12967.51783943698,-0.3691615229963594,2166.7959699999983,0,True,down,down,True
E_load_+5pct,E_data_perturbation,load 整体 ×1.05,38834.16769585598,3707.219106566343,0.10553774966085984,0.0,0,True,up,up,True
E_load_+10pct,E_data_perturbation,load 整体 ×1.10,42745.80854907041,7618.859959780777,0.2168950126827641,0.0,0,True,up,up,True
E_load_+20pct,E_data_perturbation,load 整体 ×1.20,50929.88533880035,15802.936749510714,0.44988071506812016,0.0,0,True,up,up,True
E_pv_-5pct,E_data_perturbation,pv 整体 ×0.95,36697.18748585531,1570.2388965656792,0.044701830350400894,0.0,0,True,up,up,True
E_pv_-10pct,E_data_perturbation,pv 整体 ×0.90,38422.56108838365,3295.612499094015,0.09382006213027176,0.0,0,True,up,up,True
E_pv_-20pct,E_data_perturbation,pv 整体 ×0.80,42269.092135314124,7142.14354602449,0.2033237680144572,0.0,0,True,up,up,True
E_pv_+5pct,E_data_perturbation,pv 整体 ×1.05,33630.57996634062,-1496.3686229490122,-0.042598878725414305,0.0,0,True,down,down,True
E_pv_+10pct,E_data_perturbation,pv 整体 ×1.10,32211.93345657375,-2915.015132715882,-0.08298515099614098,0.0,0,True,down,down,True
E_pv_+20pct,E_data_perturbation,pv 整体 ×1.20,30873.958969548345,-4252.989619741289,-0.12107483828065968,3258.3953566666646,0,True,down,down,True
F1_price+20_load+20,F_stress_combinations,price ×1.20 且 load ×1.20,61115.86240656042,25988.91381727079,0.7398568580817443,0.0,0,True,up,up,True
F2_price-20_load+20,F_stress_combinations,price ×0.80 且 load ×1.20,40743.90827104029,5616.9596817506535,0.15990457205449637,0.0,0,True,any,up,True
F3_pv-20_load+20,F_stress_combinations,pv ×0.80 且 load ×1.20（供给最紧）,59202.57107378466,24075.622484495027,0.685388952111707,0.0,0,True,up,up,True
F4_pv+20_load-20,F_stress_combinations,pv ×1.20 且 load ×0.80（余电最多）,20769.678515883334,-14357.2700734063,-0.4087252280656082,11166.599473333328,0,True,down,down,True
F5_price+20_pv+20_load-20,F_stress_combinations,price ×1.20、pv ×1.20、load ×0.80,24923.614219059997,-10203.334370229637,-0.29047027367872996,11166.599473333328,0,True,any,down,True
G1_cyclic_shift_1,G_time_label,price/load/pv 三条曲线整体循环移位 1 个时段（10 分钟）,35126.84858928963,-0.10000000000582077,-2.846817159527236e-06,0.0,0,True,any,down,True
